日期,点击次数,展示,点击率,排名
2026-07-02,0,4,0%,6.5
2026-07-03,0,12,0%,5.2
2026-07-04,1,13,7.69%,4.7
2026-07-05,0,4,0%,5.5
2026-07-06,1,12,8.33%,7.4
2026-07-07,0,2,0%,7
2026-07-08,0,4,0%,7.2
2026-07-09,0,6,0%,21.2
2026-07-10,0,2,0%,26.5
2026-07-11,0,10,0%,10.9
2026-07-12,0,19,0%,16.7
2026-07-13,2,68,2.94%,14.8
2026-07-14,1,35,2.86%,17.5
2026-07-15,0,37,0%,17.6
2026-07-16,0,19,0%,15.6
2026-07-17,0,26,0%,14.5
2026-07-18,0,30,0%,16.6
2026-07-19,1,39,2.56%,14.2
2026-07-20,0,55,0%,11.2
2026-07-21,0,47,0%,15.1
2026-07-22,3,56,5.36%,14.8
2026-07-23,2,84,2.38%,13
2026-07-24,1,92,1.09%,19.2
2026-07-25,2,80,2.5%,17.3
2026-07-26,0,108,0%,17.9
2026-07-27,5,158,3.16%,16.7
2026-07-28,5,146,3.42%,20.3
2026-07-29,2,152,1.32%,16.3
